,STATE NAME,RAPE CASE REPORTED,RAPE VICTIMS BELOW 6 YEARS,RAPE VICTIMS 6-11 YEARS,RAPE VICTIMS 12-15 YEARS,RAPE VICTIMS 16-17 YEARS,RAPE VICTIMS CHILD (TOTAL),RAPE VICTIMS 18-29 YEARS,RAPE VICTIMS 30-44 YEARS,RAPE VICTIMS 45-59 YEARS,RAPE VICTIMS 60 YEARS & ABOVE,RAPE VICTIMS ADULT (TOTAL),RAPE VICTIMS (TOTAL)
0,ANDHRA PRADESH,994,17,43,142,261,463,436,85,9,2,532,995
1,ARUNACHAL PRADESH,92,3,12,25,10,50,32,7,2,1,42,92
2,ASSAM,1779,0,52,147,265,464,938,373,4,0,1315,1779
3,BIHAR,1008,0,7,41,121,169,684,146,9,0,839,1008
4,CHHATTISGARH,1626,33,79,340,532,984,475,150,13,5,643,1627
5,GOA,61,2,3,15,20,40,8,11,2,0,21,61
6,GUJARAT,982,10,23,175,319,527,304,146,7,2,459,986
7,HARYANA,1187,32,82,194,210,518,474,165,29,3,671,1189
8,HIMACHAL PRADESH,252,6,13,67,62,148,81,23,6,0,110,258
9,JAMMU & KASHMIR,256,2,1,9,9,21,182,51,2,0,235,256
10,JHARKHAND,1109,0,16,51,138,205,657,212,36,0,905,1110
11,KARNATAKA,1655,39,73,295,735,1142,418,94,14,3,529,1671
12,KERALA,1656,42,146,276,412,876,525,226,27,7,785,1661
13,MADHYA PRADESH,4882,39,153,964,1323,2479,1790,545,86,8,2429,4908
14,MAHARASHTRA,4189,107,241,732,1230,2310,1425,436,42,3,1906,4216
15,MANIPUR,55,1,2,7,8,18,24,11,2,0,37,55
16,MEGHALAYA,190,12,26,49,36,123,49,20,2,0,71,194
17,MIZORAM,23,1,2,4,2,9,7,5,0,2,14,23
18,NAGALAND,26,2,5,4,8,19,1,6,0,0,7,26
19,ODISHA,1983,5,32,404,817,1258,597,127,2,0,726,1984
20,PUNJAB,838,15,33,175,187,410,281,139,9,1,430,840
21,RAJASTHAN,3656,6,37,195,539,777,2032,807,41,0,2880,3657
22,SIKKIM,92,0,16,27,14,57,32,9,0,0,41,98
23,TAMIL NADU,319,0,0,0,0,0,279,37,4,0,320,320
24,TELANGANA,1278,25,65,272,257,619,480,137,26,16,659,1278
25,TRIPURA,207,5,28,40,35,108,73,24,2,0,99,207
26,UTTAR PRADESH,4816,56,271,1078,710,2115,2092,543,65,2,2702,4817
27,UTTARAKHAND,336,2,13,41,35,91,166,74,5,0,245,336
28,WEST BENGAL,1110,0,0,0,0,0,804,268,38,0,1110,1110
30,ANDAMAN & NICOBAR ISLANDS,30,1,0,0,0,1,25,3,1,0,29,30
31,CHANDIGARH,68,2,4,18,17,41,21,6,0,1,28,69
32,DADRA & NAGAR HAVELI,14,0,0,6,3,9,5,0,0,0,5,14
33,DAMAN & DIU,12,0,0,2,6,8,1,3,0,0,4,12
34,NCT OF DELHI,2155,55,116,294,335,800,1059,302,9,0,1370,2170
35,LAKSHADWEEP,5,0,2,0,0,2,2,1,0,0,3,5
36,PUDUCHERRY,6,0,0,2,0,2,3,0,0,1,4,6
