,STATE NAME,TRAFFICED BELOW 18 YRS (MALE),TRAFFICED BELOW 18 YRS (FEMALE),TRAFFICED BELOW 18 YRS (TOTAL),TRAFFICED ABOVE 18 YRS (MALE),TRAFFICED ABOVE 18 YRS (FEMALE),TRAFFICED ABOVE 18 YRS (TOTAL),TRAFFICED MALE (TOTAL),TRAFFICED FEMALE (TOTAL),TRAFFICED TOTAL (TOTAL),TRAFFICED FOR (FORCED LABOUR),TRAFFICED FOR (SEXUAL EXPLOITATION FOR PROSTITUTION),TRAFFICED FOR (DOMESTIC SERVITUDE),DOMESTIC SERVITUDE,TRAFFICED FOR (FORCED MARRIAGE),TRAFFICED FOR (PETTY CRIMES),TRAFFICED FOR (CHILD PORNOGRAPHY),TRAFFICED FOR (BEGGING),TRAFFICED FOR (DRUG PEDDLING),TRAFFICED FOR (REMOVAL OF ORGANS),TRAFFICED FOR (OTHER REASONS),TRAFFICED (TOTAL),TRAFFICED PERSON (ARRESTED)
0,ANDHRA PRADESH,0,44,44,0,311,311,0,355,355,2,736,11,36,0,3,0,0,0,0,95,883,599
1,ARUNACHAL PRADESH,0,2,2,0,1,1,0,3,3,0,0,0,0,1,0,0,0,0,0,0,1,5
2,ASSAM,34,96,130,52,67,119,86,163,249,36,51,0,5,0,0,0,0,0,0,0,92,98
3,BIHAR,183,13,196,8,32,40,191,45,236,193,43,0,0,0,0,0,0,0,0,0,236,114
4,CHHATTISGARH,60,78,138,77,54,131,137,132,269,191,35,6,31,1,0,0,0,0,0,1,265,193
5,GOA,0,2,2,0,84,84,0,86,86,0,86,0,0,0,0,0,0,0,0,0,86,76
6,GUJARAT,137,348,485,31,112,143,168,460,628,125,117,184,16,35,3,0,0,0,0,97,577,554
7,HARYANA,5,8,13,47,89,136,52,97,149,1,27,46,0,6,0,0,8,0,1,19,108,281
8,HIMACHAL PRADESH,2,2,4,0,113,113,2,115,117,0,141,0,2,12,0,0,0,0,0,1,156,223
9,JAMMU & KASHMIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JHARKHAND,18,72,90,7,58,65,25,130,155,20,2,0,18,3,2,0,0,0,0,0,45,83
11,KARNATAKA,113,219,332,113,567,680,226,786,1012,317,429,25,4,9,0,0,1,0,1,226,1012,1273
12,KERALA,18,65,83,39,111,150,57,176,233,346,20,28,8,0,0,42,18,0,0,152,614,157
13,MADHYA PRADESH,62,35,97,4,19,23,66,54,120,1539,585,1926,157,101,12,96,0,0,0,401,4817,170
14,MAHARASHTRA,78,94,172,1,972,973,79,1066,1145,73,1020,33,3,2,0,0,0,0,0,10,1141,1173
15,MANIPUR,2,7,9,3,9,12,5,16,21,17,3,0,0,0,0,0,0,0,0,1,21,5
16,MEGHALAYA,0,1,1,0,7,7,0,8,8,0,8,0,0,0,0,0,0,0,0,0,8,14
17,MIZORAM,0,2,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,5
18,NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ODISHA,98,108,206,173,133,306,271,241,512,457,11,2,11,12,0,0,1,0,0,2,496,150
20,PUNJAB,47,1,48,1,1,2,48,2,50,31,0,0,0,1,0,0,0,0,0,2,34,28
21,RAJASTHAN,1823,696,2519,56,279,335,1879,975,2854,5099,30,118,0,8,0,24,1,0,0,487,5767,1087
22,SIKKIM,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
23,TAMIL NADU,122,195,317,263,869,1132,385,1064,1449,1200,1087,9,0,9,0,0,1,0,0,65,2371,1725
24,TELANGANA,0,7,7,22,361,383,22,368,390,0,314,7,0,1,0,0,1,0,0,32,355,591
25,TRIPURA,2,4,6,3,1,4,5,5,10,0,0,0,0,0,0,0,0,0,0,10,10,0
26,UTTAR PRADESH,748,74,822,8,28,36,756,102,858,687,25,24,39,27,31,0,40,6,0,45,924,172
27,UTTARAKHAND,1,2,3,2,18,20,3,20,23,0,13,5,1,0,0,0,0,0,0,3,22,37
28,WEST BENGAL,426,2687,3113,169,882,1051,595,3569,4164,23,155,165,4,121,161,0,0,2,0,2164,2793,1847
29,ANDAMAN & NICOBAR ISLANDS,0,0,0,0,5,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,5,7
30,CHANDIGARH,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3
31,DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,DAMAN & DIU,0,1,1,0,9,9,0,10,10,0,10,0,0,0,0,0,0,0,0,0,10,38
33,NCT OF DELHI,144,46,190,27,47,74,171,93,264,152,24,1,76,0,0,0,0,0,0,11,264,106
34,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
